Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Patrick van Aanholt,NED,DF,Crystal Palace,29,1990,22,20,1777,19.7,0,1,1,0,0,0,2,0,1.4,1.4,0.7,2.1
Tammy Abraham,ENG,FW,Chelsea,22,1997,22,12,1040,11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6
Che Adams,SCO,FW,Southampton,24,1996,36,30,2667,29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8
Tosin Adarabioyo,ENG,DF,Fulham,22,1997,33,33,2953,32.8,0,0,0,0,0,0,1,0,1.1,1.1,0.3,1.4
Adrián,ESP,GK,Liverpool,33,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Sergio Agüero,ARG,FW,Manchester City,32,1988,12,7,559,6.2,4,1,5,3,1,2,0,0,3.5,1.9,1.2,3.1
Ola Aina,NGA,DF,Fulham,23,1996,31,31,2664,29.6,2,1,3,2,0,0,3,0,1.2,1.2,1.5,2.8
Rayan Aït Nouri,FRA,DF,Wolves,19,2001,21,16,1404,15.6,1,1,2,1,0,0,1,0,0.6,0.6,0.6,1.2
Semi Ajayi,NGA,DF,West Brom,26,1993,33,31,2780,30.9,2,0,2,2,0,0,3,1,1.9,1.9,0.5,2.4
Nathan Aké,NED,DF,Manchester City,25,1995,10,9,797,8.9,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3
Marc Albrighton,ENG,"DF,FW",Leicester City,30,1989,31,17,1746,19.4,1,5,6,1,0,0,2,0,1.2,1.2,3.5,4.7
Thiago Alcántara,ESP,MF,Liverpool,29,1991,24,20,1854,20.6,1,0,1,1,0,0,4,0,1.2,1.2,2.3,3.5
Toby Alderweireld,BEL,DF,Tottenham,31,1989,25,25,2240,24.9,1,0,1,1,0,0,2,0,0.7,0.7,0.7,1.4
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,25,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,21,1998,36,34,3031,33.7,2,7,9,2,0,0,2,0,2.6,2.6,8.6,11.2
Ezgjan Alioski,MKD,"DF,MF",Leeds United,28,1992,36,29,2461,27.3,2,3,5,2,0,0,7,0,1.6,1.6,3.3,4.9
Alisson,BRA,GK,Liverpool,27,1992,33,33,2970,33.0,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1
Allan,BRA,MF,Everton,29,1991,24,23,2051,22.8,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1
Dele Alli,ENG,MF,Tottenham,24,1996,15,7,620,6.9,0,1,1,0,0,0,0,0,2.0,2.0,1.2,3.3
Miguel Almirón,PAR,"MF,FW",Newcastle Utd,26,1994,34,28,2429,27.0,4,1,5,4,0,0,3,0,3.2,3.2,2.9,6.1
Marcos Alonso,ESP,DF,Chelsea,29,1990,13,11,960,10.7,2,0,2,2,0,0,2,0,1.8,1.8,1.3,3.2
Steven Alzate,COL,MF,Brighton,21,1998,15,10,896,10.0,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4
Daniel Amartey,GHA,DF,Leicester City,25,1994,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4
Ethan Ampadu,WAL,"DF,MF",Sheffield Utd,19,2000,25,23,2089,23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5
Joachim Andersen,DEN,DF,Fulham,24,1996,31,30,2730,30.3,1,1,2,1,0,0,7,1,1.2,1.2,0.4,1.7
Elliot Anderson,SCO,MF,Newcastle Utd,17,2002,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Felipe Anderson,BRA,"FW,MF",West Ham,27,1993,2,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Michail Antonio,JAM,FW,West Ham,30,1990,26,24,1974,21.9,10,5,15,10,0,0,3,0,12.9,12.9,3.0,16.0
Alphonse Areola,FRA,GK,Fulham,27,1993,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0
Stuart Armstrong,SCO,MF,Southampton,28,1992,33,32,2764,30.7,4,5,9,4,0,0,3,0,2.7,2.7,2.6,5.3
Kepa Arrizabalaga,ESP,GK,Chelsea,25,1994,7,6,585,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31,1989,29,26,2332,25.9,10,3,13,8,2,2,2,0,10.2,8.6,2.4,11.0
Serge Aurier,CIV,DF,Tottenham,27,1992,19,19,1605,17.8,2,3,5,2,0,0,0,0,1.1,1.1,3.4,4.5
Charlie Austin,ENG,"FW,MF",West Brom,31,1989,5,0,138,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4
